ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
Q4JQU7__undef	undef_Human herpesvirus 3 strain Oka vaccine	341980	Human herpesvirus 3 strain Oka vaccine	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Human alphaherpesvirus 3	undef	Varicellovirus	Human alphaherpesvirus 3	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Human alphaherpesvirus 3	Q4JQU7	undef	Q4JQU7,P09252,AQT34080,AQT34007,AQT33934,AKE13365,AON76640,AON76567,AON76494,ABE67136,AAY57713,AAY57642,ANS13712,ANS13638,ANS13564,ANS13490,ANS13417,ANS13344,ANS13270,ANS13196,ANS13122,ANS13048,ANS12974,ANS12900,AIJ28621,AMS24402,AMS24401,AMS24400,AMS24399,AMS24398,AMS24397,AMS24396,AMS24395,AMS24394,AMS24393,AMS24392,AMS24391,AMS24390,AMS24389,AMS24388,AMS24387,AMS24386,AMS24385,AMS24384,AMS24383,AMS24382,AMS24381,AMS24380,AMS24379,AMS24378,AMS24377,AMS24376,AMS24375,AMS24374,AMS24373,AMS24372,AMS24371,AMS24370,AMS24369,AMS24368,AMS24367,AMS24366,AMS24365,AMS24364,AMS24363,AMS24362,AMS24361,AMS24360,AMS24359,AMS24358,AMS24357,AMS24356,AMS24355,AMS24354,AMS24353,AMS24352,AMS24351,AMS24350,AMS24349,AMS24348,AMS24347,AMS24346,AMS24345,AMS24344,AMS24343,AMS24342,AMS24341,AMS24340,AMS24339,AMS24338,AMS24337,AMS24336,AMS24335,AMS24334,AMS24333,AMS24332,AMS24331,AMS24330,AMS24329,AMS24328,AMS24327,AMS24326,AMS24325,AMS24324,AMS24323,AMS24322,AMS24321,AMS24320,AGC94519,AKG58723,AKG58650,AKG58577,AKG58504,AKG58431,AKG58358,AKG58285,AKG58212,AKG58139,AKG58066,AKG57991,AKG57920,AKG57847,AKG57774,AKG57701,AKG57630,AKG57557,AKG57484,AKG57411,AKG57338,AKG57265,AKG57192,AKG57119,AKG57046,AKG56973,AKG56900,AKG56827,AKG56754,AKG56681,AKG56608,AKG56535,AKG56462,AKG56389,AKG56316,AKG56243,AKG56170,AKG56097,AHJ09466,AHJ09392,AHJ09318,AHJ09244,AHJ09170,AHJ09096,AHJ09022,AHJ08948,AHJ08874,AHJ08800,AHJ08726,NP_040151,AIT54570,AIT54497,AIT54424,AIT54351,AIT54278,AIT54205,AIT54132,AIT54059,AIT53986,AIT53913,AIT53840,AIT53767,AIT53694,AIT53621,AIT53548,AIT53475,AIT53402,AIT53329,AIT53256,AIT53183,AIT53110,AIT53037,AIT52964,AIH07139,AIH07065,AHB80258,AGY34389,AGY34315,AGY34241,AGY34167,AGY34093,AGY34019,AGY33945,AGY33871,AGY33797,AGY33723,AGY33649,AGY33575,AGY33501,AGY33427,AGY33353,AGY33279,AGY33205,AGY33131,AGY33057,AGY32984,AGY32910,AGL50985,AFO85605,AFO85532,AEL30842,AFJ68529,AEW89445,AEW89373,AEW89301,AEW89229,AEW89157,AEW89085,AEW89013,AEW88941,AEW88869,AEW88797,AEW88725,AEW88653,AEW88581,AEW88509,AEW88437,AEW88365,AEW88293,AEW88221,AEW88149,AEW88077,AEW88005,ABH08463,ABF22258,ABF22185,ABF22112,ABF22039,ABF21966,ABF21893,ABF21820,ABF21747,ABF21674,ABF21601,ABF21528,ABE03046,AAT07786,AAT07710,ABW06913,BAB41075,BAB41074,BAB41073,BAB41072,CAI44871,CAA27911
ASW27076__MF678601.1	MF678601.1_Beluga whale alphaherpesvirus 1	1434720	Beluga whale alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unclassified Alphaherpesvirinae	MF678601.1	unclassified Alphaherpesvirinae	unclassified Alphaherpesvirinae	MF678601.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;unclassified Alphaherpesvirinae	ASW27076	MF678601.1	ASW27076
ABN49957__EF128043.1	EF128043.1_Bandicota indica rhadinovirus 4	425188	Bandicota indica rhadinovirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	EF128043.1	Rhadinovirus	unclassified Rhadinovirus	EF128043.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABN49957	EF128043.1	ABN49957
AAS75147__AY495965.2	AY495965.2_Equus zebra gammaherpesvirus 1	517184	Equus zebra gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AY495965.2	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AY495965.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAS75147	AY495965.2	AAS75147
AAO46905__AY177144.2	AY177144.2_Gorilla rhadinovirus 1	137876	Gorilla rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AY177144.2	Rhadinovirus	Human gammaherpesvirus 8	AY177144.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AAO46905	AY177144.2	AAO46905
AJG42938__KP136799.1	KP136799.1_Harp seal herpesvirus	1419109	Harp seal herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	KP136799.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	KP136799.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AJG42938	KP136799.1	AJG42938,AHA14644,ACV86607
AIA09524__KJ566591.2	KJ566591.2_Macacine alphaherpesvirus 1	10325	Macacine alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KJ566591.2	Simplexvirus	Simplexvirus	KJ566591.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	AIA09524	KJ566591.2	AIA09524,ARS02925,ARS02850,ARS02775,ARS02700,ARS02625,ARS02550,ARS02475,ARS02416,ARS02342,ARS02267,ARS02192,ARS02117,ARS02042,ARS01967,ARS01892,NP_851890,AAP41448,BAC58070,AHM96371,AHM96298,YP_443877,ABA29284,ARS01817,ARS01742,AHM96225,AHM96152,AHM96079,AHM96006,ARS01668,AAT67222
YP_009227263__KT594769	KT594769_Macropodid alphaherpesvirus 1	137443	Macropodid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KT594769	Simplexvirus	Simplexvirus	KT594769_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	YP_009227263	KT594769	YP_009227263,AMB16995
AMJ54425__KT726951.2	KT726951.2_Human betaherpesvirus 5	10359	Human betaherpesvirus 5	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	KT726951.2	Cytomegalovirus	Cytomegalovirus	KT726951.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	AMJ54425	KT726951.2	AMJ54425,AMJ53090,AIC80149,AMO64740,AFR56052,AFR55884,AKI23490,AKI22488,AKI20318,AKI19314,AKI17307,AKI10295,ACS92155,AAD30105,Q6SW77,P08546,ASY06489,ASY06321,ASY06152,ASY05984,AMJ55091,AMJ54926,AMJ54758,AMJ54593,AMJ54091,AMJ53923,AMJ53757,AMJ53592,AMJ53424,AMJ53257,AMJ52924,AMJ52757,AMJ52591,AIC80651,AIC80485,AIC80317,ABV71585,APG57931,APG57763,APG57593,APG57424,APG57254,AGT36483,ACZ72808,ACS32369,APB97519,APB97350,APA46365,APA46228,APA46090,APA45574,APA45453,APA45200,AJY57898,AJY57732,AJY57565,AJY57398,AJY57231,AJY57064,AJY56897,AJY56730,AJY56563,AJY56396,AJY56229,AJY56062,AJY55895,AJY55728,AJY55561,AJY55394,AJY55227,AJY55060,AJY54893,AJY54726,ADD39115,ADV04382,AND81988,AND81823,AND81659,AND81494,AKI26560,AKI26391,AKI26223,AKI26054,AKI25886,AKI25718,AKI25550,AKI25381,AKI25211,AKI25041,AKI24872,AKI24703,AKI24534,AKI24366,AKI24196,AKI24027,AKI23859,AKI23691,AMO64908,AMO64573,AMO64405,AHJ83964,AHJ83794,AHJ83627,AHJ83460,AHJ83291,AHJ83122,AHJ82953,AHJ82784,AHJ82618,AFR56386,AFR56219,AFR55718,AFR55549,AFR55384,AFR55215,AFR55047,AFR54883,AFR54716,AFR54556,ADE88062,ALT16286,ALT16121,ALT15965,ALT15800,ALT15635,ALT15470,ALT15305,ALT15140,ALT14975,ALT14810,ALT14645,AHJ85984,AHJ85817,AHJ85650,AHJ85482,AHJ85313,AHJ85144,AHJ84974,AHJ84806,AHJ84637,AHJ84468,AHJ84300,AHJ84132,AHJ82449,AHJ82282,AHJ82112,AHJ81944,ALN67053,ALL26208,AHJ86152,AKI23323,AKI23158,AKI22991,AKI22823,AKI22655,AKI22320,AKI22155,AKI21989,AKI21821,AKI21654,AKI21488,AKI21324,AKI20821,AKI20653,AKI20485,AKI20150,AKI19982,AKI19815,AKI19647,AKI19482,AKI19145,AKI18978,AKI18811,AKI18643,AKI18476,AKI18307,AKI18140,AKI17974,AKI17807,AKI17641,AKI17474,AKI17138,AKI16970,AKI16805,AKI16637,AKI16474,AKI16307,AKI16138,AKI15972,AKI15806,AKI15639,AKI15473,AKI15305,AKI15138,AKI14970,AKI14802,AKI14635,AKI14467,AKI14298,AKI14130,AKI13798,AKI13630,AKI13462,AKI13293,AKI13125,AKI12959,AKI12791,AKI12627,AKI12460,AKI12294,AKI12128,AKI11960,AKI11793,AKI11629,AKI11465,AKI11297,AKI11130,AKI10964,AKI10797,AKI10629,AKI10462,AKI10128,AKI09959,AKI09790,AKI09623,AKI09454,AKI09287,AKI09118,AKI08950,AKI08782,AKI08613,AKI08446,AKI08280,AKI08113,AKI07946,AKI07778,AKI07610,AII80158,AII79991,AII79832,AII79667,AII79499,AHB20032,AHB19867,AHB19534,AHB19366,AHV84012,AGT36355,AGL96654,AGQ47284,YP_081513,AAR31619,ACZ80306,ACZ80141,ACZ79976,ACZ79811,ACU83715,ACT81901,ACT81736,ACS93397,ACS91990,ACM48043,ACL51134,DAA00159,AAA46008,AAA45988,BAJ06834,BAF64755,AAD30104,AAD30103,AAD30102,AAD30101,AAD30100,AAD30099,AAD30098,AAD30097,AAD30096,AAD30095,AAD30094,AAD30093,AAD30092,AAD30091,AAD30090,AAD30089,AAD30088,AAD30087,AAD30086,AAD30085,AAD30084,AAD30083,AAD30082,AAD30080,AAD30079,AAD30078,AAD30077,AAD30076,AAD30075,AAD30074,AAD30073,AAD30072,AAD30071,AAD30070,AAD30069,AAD30068,AAD30067,AAD30066,ABA26314,ABA26302,AAP88377,CAA35413,ABA26287,AMJ54258,AKI21156,AKI20989,AHB19701,AAG02102,AKI13964,AAD30081,2023154C,AKF02852,AAP57915,AAP57911,AAP57919,AAP57917,AAP57916,AAP57913,AAP57909,AAP57914,AAP57910,AAP57918,AAP57908,AAP57920,AAP57912,AAR00276,AAR00275,AAR00274,AAR00273,AAR00272,AAR00271,AAR00270,AAR00292,AAR00291,AAR00290,AAR00289,AAR00288,AAR00287,AAR00286,AAR00285,AAR00284,AAR00283,AAR00282,AAR00281,AAR00280,AAR00279,AAR00278,AAR00277
AAO46907__AY177146.2	AY177146.2_Babyrousa babyrussa rhadinovirus 1	221985	Babyrousa babyrussa rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Bovine gammaherpesvirus 4	AY177146.2	Rhadinovirus	Bovine gammaherpesvirus 4	AY177146.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Bovine gammaherpesvirus 4	AAO46907	AY177146.2	AAO46907
ACX70157__GQ995451.1	GQ995451.1_Pan troglodytes rhadinovirus 3	682884	Pan troglodytes rhadinovirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	GQ995451.1	Rhadinovirus	unclassified Rhadinovirus	GQ995451.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ACX70157	GQ995451.1	ACX70157
AAO46908__AY177147.2	AY177147.2_Sus barbatus rhadinovirus 1	221984	Sus barbatus rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Bovine gammaherpesvirus 4	AY177147.2	Rhadinovirus	Bovine gammaherpesvirus 4	AY177147.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Bovine gammaherpesvirus 4	AAO46908	AY177147.2	AAO46908,gi|171988561|gb|AAO
YP_009054933__KM051845	KM051845_Equid alphaherpesvirus 3	80341	Equid alphaherpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	KM051845	Varicellovirus	Varicellovirus	KM051845_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	YP_009054933	KM051845	YP_009054933,AIL02947
ATG31676__MF417811.1	MF417811.1_Gallid alphaherpesvirus 1	10386	Gallid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus	MF417811.1	Iltovirus	Iltovirus	MF417811.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Iltovirus	ATG31676	MF417811.1	ATG31676,ATG31598,ATG31520,ATG31442,ATG31364,ATD84527,ATD84448,ATD84369,ATD84290,ATD84211,ATD84132,ASR80948,ANB43610,ANF04481,ANN24964,ANN24922,AJR27814,AJR27735,AJR27656,AJR27577,AJR27498,AER28134,AER28055,AGN48339,AGN48259,AGN48181,AFM36628,AFM36549,AFM36470,AFM36392,AFM36314,AFM36235,AGC23140,AGC23061,AFN02011,AFN01932,AEW67853,AEW67774,AFD36729,AFD36650,AFD36571,AFD36492,AEB97322,AAD56202,YP_182359
ADY05311__AY608703.2	AY608703.2_Hylobates syndactylus lymphocryptovirus 1	291837	Hylobates syndactylus lymphocryptovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	AY608703.2	Lymphocryptovirus	lymphocryptovirus 1	AY608703.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus;unclassified Lymphocryptovirus;lymphocryptovirus 1	ADY05311	AY608703.2	ADY05311
AKE44231__KP967684.1	KP967684.1_Rat cytomegalovirus ALL-03	1640278	Rat cytomegalovirus ALL-03	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus;Murid betaherpesvirus 8	KP967684.1	Muromegalovirus	Murid betaherpesvirus 8	KP967684.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus;Murid betaherpesvirus 8	AKE44231	KP967684.1	AKE44231,YP_007016461,AFX83378,AKB93258,ADB44898,ABO40787,AAW57296
NP_077443__AF275348	AF275348_Cercopithecine alphaherpesvirus 9	35246	Cercopithecine alphaherpesvirus 9	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	AF275348	Varicellovirus	Varicellovirus	AF275348_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	NP_077443	AF275348	NP_077443,AAG27201
YP_438136__AY839756	AY839756_Ovine gammaherpesvirus 2	10398	Ovine gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	AY839756	Macavirus	Macavirus	AY839756_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	YP_438136	AY839756	YP_438136,AAX58048,ABB22230
ABV03810__EU118145.1	EU118145.1_Pan troglodytes rhadinovirus 2	171371	Pan troglodytes rhadinovirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	EU118145.1	Rhadinovirus	unclassified Rhadinovirus	EU118145.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	ABV03810	EU118145.1	ABV03810,ABU52897,AAL06318,AAL06317
