ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
AME15917__KT878967.1	KT878967.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KT878967.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KT878967.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AME15917	KT878967.1	AME15917	AME15917__KT878967.1_Species 21
BAR72999__LC011425.1	LC011425.1_Mfuwe bufavirus	1580060	Mfuwe bufavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	LC011425.1	Protoparvovirus	unclassified Protoparvovirus	LC011425.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	BAR72999	LC011425.1	BAR72999	BAR72999__LC011425.1_Species 19
ABY67682__EU200669.1	EU200669.1_Bovine hokovirus 1	494651	Bovine hokovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	EU200669.1	Tetraparvovirus	Ungulate tetraparvovirus 1	EU200669.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1	ABY67682	EU200669.1	AVR53762,ANN02913,YP_009175068,ALK01963,ALK01960,ALK01957,ALK01954,ALK01951,ALK01948,AEQ76793,AEQ76790,ABY67685,ABY67682,ABY67679	ABY67682__EU200669.1_Species 6
ADM26648__HQ113143.1	HQ113143.1_Chimpanzee parv4	1511922	Chimpanzee parv4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	HQ113143.1	Tetraparvovirus	Primate tetraparvovirus 1	HQ113143.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	ADM26648	HQ113143.1	AOY07789,AOY07786,AEE69128,AEE69122,AIC33858,AIC33855,AIC33852,AIX96902,AIX96900,YP_238482,ADM26648,ACF94533,ABK00521,AAU88153,AET35072,AFD01599,AFD01583,AFD01580,AFD01577,AFD01574,AFD01571,ACD71480,ACD71478,ACD71474,ACD71472,ACD71470,ACD71468,ABV71692,ABV71690,ACY78469,ABY67676,ABK00519,ABK00517,ABK00515,ABK00513,ABK00511,AET35078,AET35070,AEE69125,AET35082,ABV71694	ADM26648__HQ113143.1_Species 6
YP_009259490__KU172421	KU172421_Ungulate bocaparvovirus 6	1864484	Ungulate bocaparvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	KU172421	Bocaparvovirus	Bocaparvovirus	KU172421_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus	YP_009259490	KU172421	YP_009259490,ANN02911,ANN02909	YP_009259490__KU172421_Species 13
AUD40075__MF464269.1	MF464269.1_Himalayan marmot bocaparvovirus 2	2059415	Himalayan marmot bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF464269.1	Bocaparvovirus	unclassified Bocaparvovirus	MF464269.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AUD40075	MF464269.1	AUD40075	AUD40075__MF464269.1_Species 9
AIT18928__KJ495710.1	KJ495710.1_Tusavirus 1	1560340	Tusavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KJ495710.1	Protoparvovirus	unclassified Protoparvovirus	KJ495710.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AIT18928	KJ495710.1	AIT18928	AIT18928__KJ495710.1_Species 19
ASC49417__KY640455.1	KY640455.1_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640455.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640455.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49417	KY640455.1	ASC49417,ASC49414,ASC49411,ASC49408,ASC49405,ASC49402,ASC49396,ASC49393,ASC49390,ASC49384,ASC49381,ASC49378,ASC49375,ASC49372,ASC49369	ASC49417__KY640455.1_Species 12
ABV71710__EU175872.1	EU175872.1_Human parvovirus 4	289365	Human parvovirus 4	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	EU175872.1	Tetraparvovirus	Primate tetraparvovirus 1	EU175872.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1	ABV71710	EU175872.1	ABV71710	ABV71710__EU175872.1_Species 6
AHK26969__KF025380.1	KF025380.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025380.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025380.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26969	KF025380.1	AHK26969,AHK26993,AEZ53133,AIY27462,AHK27011,AHK26981,AHK26963,AHK27134,AHK27014,AHK27133,AHK27192,AHK27170,AHK27160,AHK27140,AHK27137,AHK27132	AHK26969__KF025380.1_Species 8
ABY67706__EU200677.1	EU200677.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	EU200677.1	Tetraparvovirus	Ungulate tetraparvovirus 2	EU200677.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	ABY67706	EU200677.1	AWO81961,ATE46005,ASV72295,ASV72294,ASV72293,ASV72292,ASV72291,ASV72290,ADN44557,ADN44554,ADC94188,ADC94185,ADC94182,ADC94179,ADC94176,ADC94173,ADC94170,ADC94167,ADC94164,ADC94161,ALW83499,ALW83496,AHF20150,AHF20147,AHF20144,AHF20141,AGG39690,AGG39688,AGG39686,AGG39684,AGG39682,AGG39679,AGG39677,AGG39675,AGG39673,AGG39671,AGG39669,YP_008439207,AGT29650,AGJ73898,AGJ73896,AGJ73894,AFN42855,AFN42851,AFN42848,AFM30852,AFM30849,AFM30846,AFM30843,AFM30840,AFM30837,AEZ67149,AEZ67146,AEZ67143,AEZ67140,AEL21556,AEL21553,AEL21550,AEL21547,AEL21544,AEL21541,AEL21534,ABY67706,ABY67703,ABY67700,ABY67697,ABY67694,ABY67691,ABY67688,AFM73869,AFM73866,AFM73863,AFM73860,AFM73857,AFM73854,AFM73851,AFM73848,AEL21537,AEL21531,AEL21530,AEL21529,AEL21528,AEL21527,AEL21526,AEL21525,AEL21524,AEL21523,AEL21522,AEL21521	ABY67706__EU200677.1_Species 6
AWO81976__MG345036.1	MG345036.1_Porcine parvovirus 6	1472911	Porcine parvovirus 6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	MG345036.1	Protoparvovirus	unclassified Protoparvovirus	MG345036.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AWO81976	MG345036.1	AWO81976,ATE46000,AOE23875,AOE23873,AOE23871,AOE23869,AOE23867,AOE23865,AOE23863,AOE23861,AOE23859,AOE23857,AOE23855,ANO39503,ALJ96713,ALJ96711,ALJ96709,ALJ96707,ALJ96705,ALJ96703,ALJ96701,YP_009021566,AHM24965,AHM24963,AHM24961,AHM24959,AHM24957	AWO81976__MG345036.1_Species 28
AAB95451__AF028705.1	AF028705.1_Adeno-associated virus 3B	68742	Adeno-associated virus 3B	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3	AF028705.1	Dependoparvovirus	Adeno-associated virus - 3	AF028705.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3	AAB95451	AF028705.1	AAB95451,NP_043940,AAC55048,NP_044926,AAC58044,ABZ10811,ASW20943,AAU05369,ASW20942,YP_680422,AAC03774	AAB95451__AF028705.1_Species 26
AHA86835__KF373759.1	KF373759.1_Seal parvovirus	1427158	Seal parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	KF373759.1	Protoparvovirus	unclassified Protoparvovirus	KF373759.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AHA86835	KF373759.1	AHA86835,AIU95092,AIU95091,AIU95090,AIU95089,AIU95088,AIU95087,AIU95086,AIU95085	AHA86835__KF373759.1_Species 24
AEX38011__JQ037753.1	JQ037753.1_Eidolon helvum (bat) parvovirus	1131483	Eidolon helvum (bat) parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	JQ037753.1	Tetraparvovirus	Chiropteran tetraparvovirus 1	JQ037753.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1	AEX38011	JQ037753.1	YP_005090504,AEX38011	AEX38011__JQ037753.1_Species 5
AEO37417__JF429834.1	JF429834.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	JF429834.1	Bocaparvovirus	Ungulate bocaparvovirus 5	JF429834.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AEO37417	JF429834.1	AEF33722,AGS15093,AHK26999,AWW25129,ATV81494,AOZ60497,AMH38320,AHK26978,AHK26972,AGS15069,AGS15057,AGJ52191,YP_004869645,YP_004869641,AEO37425,AEO37421,AEO37417,AHK26984,AHK26990,AOZ60491,AER30010,AOZ60494,AER30014,AHK27129,AHK27187,AHK27186,AHK27185,AHK27184,AHK27182,AHK27181,AHK27180,AHK27179,AHK27178,AHK27177,AHK27176,AHK27175,AHK27173,AHK27172,AHK27171,AHK27169,AHK27168,AHK27165,AHK27164,AHK27163,AHK27162,AHK27159,AHK27158,AHK27157,AHK27156,AHK27155,AHK27154,AHK27152,AHK27151,AHK27150,AHK27148,AHK27147,AHK27146,AHK27145,AHK27144,AHK27142,AHK27141,AHK27139,AHK27138,AHK27136,AHK27135,AHK27131,AHK27153	AEO37417__JF429834.1_Species 8
AHK26987__KF025386.1	KF025386.1_Porcine bocavirus 3	1084715	Porcine bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	KF025386.1	Bocaparvovirus	Ungulate bocaparvovirus 5	KF025386.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5	AHK26987	KF025386.1	AHK26987,AHK26975	AHK26987__KF025386.1_Species 8
ATV81491__MF682923.1	MF682923.1_Rhinolophus pusillus bocaparvovirus 2	2053080	Rhinolophus pusillus bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MF682923.1	Bocaparvovirus	unclassified Bocaparvovirus	MF682923.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ATV81491	MF682923.1	ATV81491	ATV81491__MF682923.1_Species 9
YP_009272913__KU950356	KU950356_Mink bocavirus 1	2259808	Mink bocavirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 6	KU950356	Bocaparvovirus	Carnivore bocaparvovirus 6	KU950356_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 6	YP_009272913	KU950356	YP_009272913,AOF39988	YP_009272913__KU950356_Species 9
